feature,importance
Contract,0.3649977
OnlineSecurity,0.0875241
InternetService,0.06734222
TechSupport,0.063582554
tenure,0.035225667
StreamingMovies,0.03446785
OnlineBackup,0.031234134
PaymentMethod,0.030305633
PaperlessBilling,0.03002146
MonthlyCharges,0.029963952
StreamingTV,0.027983325
PhoneService,0.02743301
MultipleLines,0.027028652
SeniorCitizen,0.026523633
TotalCharges,0.025867917
DeviceProtection,0.023800941
gender,0.023651654
Dependents,0.022354344
Partner,0.020691289
